Date,Tested,Confirmed,Isolation,Recovered,Death
1/5/2020,5573,571,175,14,2
2/5/2020,5827,552,168,3,5
3/5/2020,5368,665,65,886,2
4/5/2020,6260,688,90,147,5
5/5/2020,5711,786,128,193,1
6/5/2020,6241,790,184,0,3
7/5/2020,5867,706,107,127,13
8/5/2020,5941,709,103,568,7
9/5/2020,5465,636,196,313,8
10/5/2020,5738,887,169,236,14
11/5/2020,7208,1034,183,252,11
12/5/2020,6773,969,152,245,11
13/5/2020,7900,1162,150,214,19
14/5/2020,7392,1041,201,242,14
15/5/2020,8582,1202,259,279,15
16/5/2020,6782,930,349,232,16
17/5/2020,8114,1273,276,256,14
18/5/2020,9788,1602,231,453,21
19/5/2020,8449,1251,326,409,21
20/5/2020,10207,1617,300,214,16
21/5/2020,10226,1773,154,395,22
22/5/2020,9727,1694,225,588,24
23/5/2020,10834,1873,286,296,20
24/5/2020,8908,1532,253,425,28
25/5/2020,9451,1975,284,433,21
26/5/2020,5407,1166,182,245,21
27/5/2020,8015,1541,281,346,22
28/5/2020,9310,2029,248,500,15
29/5/2020,11301,2533,328,590,23
30/5/2020,9987,1764,469,360,28
31/5/2020,11876,2545,391,406,40
1/6/2020,11439,2381,2707,816,22
2/6/2020,12704,2911,388,0,37
3/6/2020,12510,2695,395,993,37
4/6/2020,12694,2423,386,571,35
5/6/2020,14088,2828,365,643,30
6/6/2020,12486,2635,314,521,35
7/6/2020,13136,2743,467,578,42
8/6/2020,12944,2735,297,657,42
9/6/2020,24664,3171,557,777,45
10/6/2020,15965,3190,538,565,37
11/6/2020,15772,3187,671,848,37
12/6/2020,15990,3471,436,502,46
13/6/2020,16638,2856,496,578,44
14/6/2020,14505,3141,712,903,32
15/6/2020,15038,3099,536,15297,38
16/6/2020,17214,3862,635,2237,53
17/6/2020,17527,4008,718,1925,43
18/6/2020,16259,3803,674,1975,38
19/6/2020,16327,3243,684,2781,45
20/6/2020,13779,3240,628,1048,37
21/6/2020,15710,3531,631,1084,39
22/6/2020,16287,3480,618,1678,38
23/6/2020,17563,3412,680,880,43
24/6/2020,16433,3462,749,2031,37
25/6/2020,17999,3946,645,1829,39
26/6/2020,18498,3868,861,1638,40
